vp ses resp RT key stim inf1 inf2
vp01 ses01 d 1.1237 r stim46 4 6
vp01 ses01 d 0.7671 r stim44 4 4
vp01 ses01 s 1.0841 l stim88 8 8
vp01 ses01 d 1.3759 r stim88 8 8
vp01 ses01 s 1.2537 l stim01 0 1
vp01 ses01 s 0.7694 l stim54 5 4
vp01 ses01 d 0.7116 r stim16 1 6
vp01 ses01 s 2.1105 l stim88 8 8
vp01 ses01 d 1.0699 r stim01 0 1
vp01 ses01 d 0.6421 r stim60 6 0
vp01 ses01 d 0.7711 r stim21 2 1
vp01 ses01 d 0.7571 r stim25 2 5
vp01 ses01 s 1.0254 l stim66 6 6
vp01 ses01 d 0.629 r stim43 4 3
vp01 ses01 s 0.9899 l stim55 5 5
vp01 ses01 d 0.6574 r stim05 0 5
vp01 ses01 d 1.2022 r stim10 1 0
vp01 ses01 d 1.033 r stim77 7 7
vp01 ses01 d 1.0048 r stim24 2 4
vp01 ses01 d 0.7734 r stim78 7 8
vp01 ses01 d 0.7676 r stim75 7 5
vp01 ses01 d 0.6082 r stim87 8 7
vp01 ses01 d 0.7672 r stim87 8 7
vp01 ses01 d 0.6507 r stim85 8 5
vp01 ses01 d 0.6986 r stim27 2 7
vp01 ses01 s 0.8306 l stim55 5 5
vp01 ses01 d 0.7041 r stim77 7 7
vp01 ses01 d 0.6182 r stim48 4 8
vp01 ses01 d 0.7125 r stim04 0 4
vp01 ses01 d 0.6124 r stim66 6 6
vp01 ses01 d 0.8548 r stim64 6 4
vp01 ses01 d 0.9296 r stim45 4 5
vp01 ses01 d 0.7428 r stim54 5 4
vp01 ses01 d 0.7127 r stim77 7 7
vp01 ses01 d 0.8624 r stim33 3 3
vp01 ses01 d 0.5898 r stim12 1 2
vp01 ses01 s 0.934 l stim32 3 2
vp01 ses01 s 1.1492 l stim55 5 5
vp01 ses01 d 1.062 r stim02 0 2
vp01 ses01 d 1.2649 r stim63 6 3
vp01 ses01 d 0.7527 r stim51 5 1
vp01 ses01 d 0.9719 r stim77 7 7
vp01 ses01 d 0.6714 r stim60 6 0
vp01 ses01 d 1.1323 r stim31 3 1
vp01 ses01 s 1.1108 l stim55 5 5
vp01 ses01 d 1.153 r stim63 6 3
vp01 ses01 d 0.882 r stim57 5 7
vp01 ses01 d 1.0579 r stim13 1 3
vp01 ses01 s 1.4641 l stim37 3 7
vp01 ses01 d 1.581 r stim56 5 6
vp01 ses01 d 0.7737 r stim20 2 0
vp01 ses01 d 1.0143 r stim21 2 1
vp01 ses01 d 0.7344 r stim22 2 2
vp01 ses01 d 1.05 r stim78 7 8
vp01 ses01 d 0.8566 r stim10 1 0
vp01 ses01 d 1.0485 r stim54 5 4
vp01 ses01 d 0.8201 r stim57 5 7
vp01 ses01 d 0.8092 r stim22 2 2
vp01 ses01 d 0.9988 r stim44 4 4
vp01 ses01 d 0.8673 r stim50 5 0
vp01 ses01 d 0.6607 r stim83 8 3
vp01 ses01 d 0.7547 r stim66 6 6
vp01 ses01 d 0.7574 r stim53 5 3
vp01 ses01 s 1.0437 l stim56 5 6
vp01 ses01 d 0.8327 r stim55 5 5
vp01 ses01 s 0.8569 l stim22 2 2
vp01 ses01 d 0.6352 r stim17 1 7
vp01 ses01 s 1.5966 l stim44 4 4
vp01 ses01 d 0.6033 r stim22 2 2
vp01 ses01 d 0.6645 r stim68 6 8
vp01 ses01 s 1.1424 l stim53 5 3
vp01 ses01 s 1.3218 l stim87 8 7
vp01 ses01 s 1.3428 l stim12 1 2
vp01 ses01 d 0.7182 r stim25 2 5
vp01 ses01 d 0.8009 r stim85 8 5
vp01 ses01 d 1.6228 r stim22 2 2
vp01 ses01 s 1.1474 l stim33 3 3
vp01 ses01 d 1.2775 r stim67 6 7
vp01 ses01 d 0.8138 r stim88 8 8
vp01 ses01 d 1.0209 r stim36 3 6
vp01 ses01 d 0.8169 r stim34 3 4
vp01 ses01 d 0.5956 r stim48 4 8
vp01 ses01 d 0.5865 r stim74 7 4
vp01 ses01 d 0.5776 r stim23 2 3
vp01 ses01 d 0.618 r stim25 2 5
vp01 ses01 d 1.1613 r stim24 2 4
vp01 ses01 d 0.988 r stim46 4 6
vp01 ses01 s 1.2067 l stim56 5 6
vp01 ses01 s 1.2386 l stim13 1 3
vp01 ses01 d 0.6558 r stim44 4 4
vp01 ses01 s 1.2824 l stim10 1 0
vp01 ses01 d 0.6872 r stim63 6 3
vp01 ses01 d 1.3518 r stim22 2 2
vp01 ses01 d 0.7445 r stim86 8 6
vp01 ses01 d 0.8781 r stim55 5 5
vp01 ses01 d 0.7156 r stim63 6 3
vp01 ses01 d 0.6515 r stim16 1 6
vp01 ses01 d 0.7948 r stim77 7 7
vp01 ses01 s 1.0508 l stim02 0 2
vp01 ses01 d 1.5219 r stim12 1 2
vp01 ses01 s 1.1232 l stim35 3 5
vp01 ses01 d 1.1008 r stim46 4 6
vp01 ses01 d 1.7593 r stim33 3 3
vp01 ses01 d 1.0112 r stim33 3 3
vp01 ses01 d 1.1466 r stim20 2 0
vp01 ses01 s 0.9592 l stim44 4 4
vp01 ses01 s 1.3092 l stim57 5 7
vp01 ses01 d 0.6662 r stim55 5 5
vp01 ses01 d 0.9766 r stim66 6 6
vp01 ses01 d 2.7102 r stim75 7 5
vp01 ses01 d 0.8029 r stim00 0 0
vp01 ses01 d 1.0972 r stim52 5 2
vp01 ses01 d 0.7063 r stim67 6 7
vp01 ses01 s 1.0196 l stim12 1 2
vp01 ses01 d 0.8063 r stim88 8 8
vp01 ses01 s 0.8968 l stim33 3 3
vp01 ses01 d 1.1574 r stim34 3 4
vp01 ses01 d 0.7008 r stim05 0 5
vp01 ses01 d 0.6679 r stim85 8 5
vp01 ses01 s 2.1139 l stim12 1 2
vp01 ses01 d 0.7895 r stim47 4 7
vp01 ses01 d 0.6595 r stim15 1 5
vp01 ses01 s 0.9556 l stim10 1 0
vp01 ses01 s 1.7214 l stim11 1 1
